City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,longyearbyen,78.2186,15.6401,11.91,87,75,1.03,SJ,1723100286
1,porto novo,6.4965,2.6036,24.9,83,100,3.48,BJ,1723100055
2,maisi,43.0395,41.2621,23.57,51,0,2.54,GE,1723100288
3,puerto ayora,-0.7393,-90.3518,19.19,92,87,2.68,EC,1723100289
4,saint-philippe,-21.3585,55.7679,25.77,69,2,3.75,RE,1723100290
5,puerto natales,-51.7236,-72.4875,1.44,87,100,1.05,CL,1723100044
6,invercargill,-46.4,168.35,7.23,90,60,0.45,NZ,1723100292
7,jamestown,42.097,-79.2353,19.45,94,100,2.06,US,1723100293
8,waitangi,-43.9535,-176.5597,10.46,72,27,7.82,NZ,1723100294
9,port-aux-francais,-49.35,70.2167,0.09,90,100,10.39,TF,1723100297
10,klyuchi,52.2667,79.1667,27.12,50,100,3.26,RU,1723100298
11,cabo san lucas,22.8909,-109.9124,28.75,70,100,3.58,MX,1723100299
12,sima,53.9202,102.0442,24.85,51,42,1.21,RU,1723100300
13,klaksvik,62.2266,-6.589,10.51,91,13,4.8,FO,1723100301
14,vernon,50.2581,-119.2691,20.42,48,0,3.6,CA,1723100302
15,ulladulla,-35.35,150.4667,17.09,74,100,5.69,AU,1723100303
16,queenstown,-31.8976,26.8753,16.57,26,0,4.01,ZA,1723100101
17,mount gambier,-37.8333,140.7667,9.15,97,100,4.25,AU,1723100305
18,kikwit,-5.041,18.8162,28.34,34,2,2.42,CD,1723100306
19,bada,51.392,109.8717,26.03,39,1,1.6,RU,1723100307
20,las pedroneras,39.45,-2.6739,24.54,50,0,7.36,ES,1723100309
21,tolga,34.7222,5.3785,30.45,30,0,5.15,DZ,1723100310
22,arumbavur,11.3833,78.7333,31.07,58,100,2.92,IN,1723100312
23,grytviken,-54.2811,-36.5092,-10.51,67,25,2.72,GS,1723100313
24,carnarvon,-24.8667,113.6333,20.89,58,3,6.88,AU,1723100314
25,badger,64.8,-147.5333,20.93,74,75,5.66,US,1723100315
26,whitehorse,60.7161,-135.0538,21.43,43,0,5.14,CA,1723100316
27,yellowknife,62.456,-114.3525,17.29,51,20,4.12,CA,1723100317
28,dudinka,69.4058,86.1778,17.19,41,2,8.9,RU,1723100318
29,bredasdorp,-34.5322,20.0403,10.64,86,0,2.47,ZA,1723100319
30,port lincoln,-34.7333,135.8667,14.71,64,1,6.24,AU,1723100320
31,isafjordur,66.0755,-23.124,6.53,89,84,1.32,IS,1723100321
32,iqaluit,63.7506,-68.5145,4.85,80,40,0.0,CA,1723100322
33,blackmans bay,-43.0167,147.3167,14.29,54,100,2.68,AU,1723100323
34,pursat,12.3333,103.6667,33.37,46,100,1.61,KH,1723100324
35,stanley,54.868,-1.6985,14.88,86,83,3.41,GB,1723100326
36,gornopravdinsk,60.05,69.9,13.78,57,100,3.39,RU,1723100327
37,iskateley,67.6803,53.1512,15.98,48,0,2.68,RU,1723100328
38,pionerskiy,54.9508,20.2275,20.91,72,100,3.84,RU,1723100329
39,crane,31.3974,-102.3501,31.62,23,0,2.88,US,1723100330
40,tipasa,36.5897,2.4475,27.87,67,8,2.71,DZ,1723100331
41,college,64.8569,-147.8028,20.97,69,75,5.66,US,1723100332
42,kichmengskiy gorodok,59.9816,45.7854,16.12,82,100,2.47,RU,1723100333
43,yongchuan,29.3514,105.8947,36.08,48,39,4.71,CN,1723100334
44,ushuaia,-54.8,-68.3,1.81,80,100,0.51,AR,1723100335
45,bilibino,68.0546,166.4372,12.91,43,100,5.93,RU,1723100336
46,thinadhoo,0.5333,72.9333,26.44,78,100,5.01,MV,1723100337
47,i-n-salah,27.1935,2.4607,33.13,16,0,7.86,DZ,1723100338
48,adamstown,-25.066,-130.1015,19.84,70,100,5.85,PN,1723100340
49,lebu,-37.6167,-73.65,4.67,85,0,2.14,CL,1723100341
50,saipan,15.1355,145.701,32.39,70,40,3.09,MP,1723100342
51,albany,42.6001,-73.9662,16.56,81,69,0.89,US,1723100093
52,udachny,66.4167,112.4,21.83,60,98,5.77,RU,1723100344
53,haiku-pauwela,20.9219,-156.3051,24.57,83,40,6.69,US,1723100345
54,papatowai,-46.5619,169.4708,6.54,88,26,3.06,NZ,1723100346
55,callao,-12.0667,-77.15,16.16,82,100,2.06,PE,1723100081
56,polyarnyy,69.1989,33.4478,17.44,50,53,3.35,RU,1723100348
57,smithers,54.7804,-127.1743,17.18,72,0,1.03,CA,1723100349
58,ilulissat,69.2167,-51.1,2.86,94,100,1.01,GL,1723100350
59,togur,58.3631,82.8265,21.15,54,57,3.37,RU,1723100351
60,tlayacapan,18.9333,-98.9833,21.17,88,100,1.98,MX,1723100353
61,tandalti,13.0167,31.8667,27.01,68,100,3.98,SD,1723100354
62,ribeira grande,38.5167,-28.7,22.1,78,20,3.13,PT,1723100355
63,maxixe,-23.8597,35.3472,19.91,100,40,0.0,MZ,1723100356
64,hermanus,-34.4187,19.2345,9.89,81,1,3.49,ZA,1723100357
65,auki,-8.7676,160.7034,25.35,90,100,1.76,SB,1723100358
66,colonia,50.9333,6.95,18.79,75,0,3.09,DE,1723100074
67,nizhneudinsk,54.9076,99.0276,17.56,88,95,1.71,RU,1723100360
68,lihue,21.9789,-159.3672,25.77,77,75,6.69,US,1723100361
69,cheongsong gun,36.4335,129.057,29.15,64,100,4.21,KR,1723100362
70,uturoa,-16.7333,-151.4333,26.08,83,2,1.46,PF,1723100363
71,coquimbo,-29.9533,-71.3436,11.85,76,100,1.54,CL,1723100364
72,hell-ville,-13.4,48.2667,25.93,56,20,4.12,MG,1723100365
73,st. john's,47.5649,-52.7093,15.44,92,0,5.14,CA,1723100336
74,somersworth,43.2617,-70.8653,15.22,84,0,1.13,US,1723100368
75,aiquile,-18.2041,-65.1807,10.31,93,1,1.6,BO,1723100369
76,west island,-12.1568,96.8225,28.99,70,75,5.66,CC,1723100370
77,filey,54.21,-0.2892,16.05,85,60,2.68,GB,1723100371
78,talnakh,69.4865,88.3972,18.89,42,79,5.79,RU,1723100372
79,sampit,-2.5333,112.95,29.7,68,100,2.25,ID,1723100373
80,aberdeen,57.1437,-2.0981,16.41,73,0,3.7,GB,1723100375
81,mazagao,-0.115,-51.2894,27.03,92,2,1.4,BR,1723100376
82,edinburgh of the seven seas,-37.0676,-12.3116,9.73,58,100,10.12,SH,1723100377
83,mugia,43.1041,-9.2179,20.09,83,19,8.76,ES,1723100378
84,namdrik,5.5994,168.1028,27.95,74,100,4.7,MH,1723100379
85,vilyuysk,63.7553,121.6247,21.83,35,7,1.28,RU,1723100380
86,chibougamau,49.9168,-74.3659,12.79,100,100,0.0,CA,1723100382
87,camana,-16.6228,-72.7111,14.7,89,100,4.59,PE,1723100384
88,santa ana,33.7456,-117.8678,22.11,88,0,2.06,US,1723100385
89,flying fish cove,-10.4217,105.6791,26.82,78,100,7.72,CX,1723100386
90,weno,7.4515,151.8468,29.58,74,20,4.55,FM,1723100387
91,port-vila,-17.7338,168.3219,22.78,78,75,5.14,VU,1723100388
92,belmonte,-15.8631,-38.8828,22.56,65,98,1.63,BR,1723100389
93,magadan,59.5667,150.8,14.47,81,15,2.73,RU,1723100390
94,teknaf,20.8624,92.3058,26.41,88,100,4.18,BD,1723100391
95,georgetown,5.4112,100.3354,33.96,55,20,6.17,MY,1723100392
96,atafu village,-8.5421,-172.5159,28.59,72,100,9.27,TK,1723100394
97,ta`u,-14.2336,-169.5144,25.04,78,100,10.32,AS,1723100395
98,saldanha,-33.0117,17.9442,12.03,92,100,8.73,ZA,1723100396
99,olonkinbyen,70.9221,-8.7187,5.3,100,100,3.18,SJ,1723100397
100,kavaratti,10.5669,72.642,27.06,81,100,5.64,IN,1723100398
101,naracoorte,-36.9579,140.7383,9.56,94,100,5.97,AU,1723100399
102,pangody,65.85,74.4859,15.17,52,59,4.99,RU,1723100400
103,port mathurin,-19.6833,63.4167,22.3,75,20,5.92,MU,1723100114
104,tura,25.5198,90.2201,28.88,77,79,4.15,IN,1723100402
105,tuy hoa,13.0833,109.3,37.57,40,46,3.22,VN,1723100403
